name,channelLink,niche,subject,body
Programming with Mosh,https://www.youtube.com/@programmingwithmosh,Full-Stack & Career Dev,Collaboration Opportunity for Programming with Mosh,"Hi Programming with Mosh,

I came across your channel and your polished full-stack and career development courses that take developers from beginner to job-ready.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI career and coding mentor chatbot that supplements your courses with 24/7 learner support.

Would this be relevant to you?

Best,
Dhurim Halili"
Neso Academy,https://www.youtube.com/@nesoacademy,CS & Engineering Tutorials,Collaboration Opportunity for Neso Academy,"Hi Neso Academy,

I came across your channel and your computer science and engineering lectures that students use to supplement their university courses.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI CS tutor chatbot that explains algorithms, digital logic, and engineering concepts on demand.

Would this be relevant to you?

Best,
Dhurim Halili"
Python Engineer,https://www.youtube.com/@patloeber,Python ML/DS Tutorials,Collaboration Opportunity for Python Engineer,"Hi Python Engineer,

I came across your channel and your concise Python, machine learning, and data science tutorials for efficient learning.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI Python ML assistant that helps developers write, debug, and optimize data science code via chat.

Would this be relevant to you?

Best,
Dhurim Halili"
Coding Addict,https://www.youtube.com/@CodingAddict,Web Dev Projects,Collaboration Opportunity for Coding Addict,"Hi Coding Addict,

I came across your channel and your project-based web development tutorials that teach by building real applications.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI project-building chatbot that guides developers through full-stack web app projects step by step.

Would this be relevant to you?

Best,
Dhurim Halili"
Applied AI Course,https://www.youtube.com/@AppliedAICourse,ML/AI Theory & Courses,Collaboration Opportunity for Applied AI Course,"Hi Applied AI Course,

I came across your channel and your applied AI and machine learning theory courses that bridge math and real-world implementation.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI/ML course companion chatbot that helps students work through theory and coding exercises.

Would this be relevant to you?

Best,
Dhurim Halili"
Dad the Engineer,https://www.youtube.com/@DadtheEngineer,Electronics & STEM,Collaboration Opportunity for Dad the Engineer,"Hi Dad the Engineer,

I came across your channel and your electronics and STEM projects that make engineering approachable for families and hobbyists.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI electronics troubleshooting chatbot that helps makers debug circuits and choose components.

Would this be relevant to you?

Best,
Dhurim Halili"
Chris Hawkes,https://www.youtube.com/@noobtoprofessional,Dev Career & Advice,Collaboration Opportunity for Chris Hawkes,"Hi Chris Hawkes,

I came across your channel and your developer career advice and coding journey content for people breaking into tech.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI career mentor chatbot that helps aspiring developers plan their learning path and prepare for jobs.

Would this be relevant to you?

Best,
Dhurim Halili"
Coding Garden,https://www.youtube.com/@CodingGarden,Live Coding & Web Dev,Collaboration Opportunity for Coding Garden,"Hi Coding Garden,

I came across your channel and your live coding streams and collaborative web development sessions with the dev community.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI live-coding companion that helps stream viewers follow along and get unstuck during builds.

Would this be relevant to you?

Best,
Dhurim Halili"
Kaggle,https://www.youtube.com/@kaggle,Data Science & Competitions,Collaboration Opportunity for Kaggle,"Hi Kaggle,

I came across your channel and your data science competition walkthroughs and ML tutorials from the world's largest data science community.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI Kaggle competition assistant that helps data scientists explore datasets and iterate on models faster.

Would this be relevant to you?

Best,
Dhurim Halili"
Akshay Saini,https://www.youtube.com/@akshaymarch7,Advanced JavaScript Core Concepts,Collaboration Opportunity for Akshay Saini,"Hi Akshay Saini,

I came across your channel and your Namaste JavaScript series and deep dives into JavaScript internals that advanced devs swear by.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI JavaScript tutor that explains closures, prototypes, and async concepts the way your series does.

Would this be relevant to you?

Best,
Dhurim Halili"
ArjanCodes,https://www.youtube.com/@ArjanCodes,Software Design & Python,Collaboration Opportunity for ArjanCodes,"Hi ArjanCodes,

I came across your channel and your software design patterns and clean Python architecture content for professional developers.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI software design reviewer that suggests architecture improvements and design pattern recommendations via chat.

Would this be relevant to you?

Best,
Dhurim Halili"
ByCloud AI,https://www.youtube.com/@bycloudAI,Cloud AI & ML Deployments,Collaboration Opportunity for ByCloud AI,"Hi ByCloud AI,

I came across your channel and your cloud AI and ML deployment tutorials for getting models into production on AWS and beyond.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote a cloud-native AI deployment platform with one-click chatbot and agent hosting for production workloads.

Would this be relevant to you?

Best,
Dhurim Halili"
ByteByteGo,https://www.youtube.com/@ByteByteGo,System Design & Tech Architecture,Collaboration Opportunity for ByteByteGo,"Hi ByteByteGo,

I came across your channel and your system design interview prep and tech architecture explainers used by engineers at top companies.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI system design coach chatbot that walks engineers through architecture decisions and trade-offs.

Would this be relevant to you?

Best,
Dhurim Halili"
Clement Mihailescu,https://www.youtube.com/@ClementMihailescu,Software Engineering Careers & DSA,Collaboration Opportunity for Clement Mihailescu,"Hi Clement Mihailescu,

I came across your channel and your AlgoExpert platform and coding interview content that helps developers land jobs at FAANG companies.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI interview prep chatbot with adaptive coding challenges and system design practice.

Would this be relevant to you?

Best,
Dhurim Halili"
CodeWithHarry,https://www.youtube.com/@CodeWithHarry,Full-Stack Web Dev & Programming,Collaboration Opportunity for CodeWithHarry,"Hi CodeWithHarry,

I came across your channel and your Hindi-English full-stack web development tutorials that make programming accessible to millions.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI coding tutor chatbot with multilingual support for learners following your courses.

Would this be relevant to you?

Best,
Dhurim Halili"
Computerphile,https://www.youtube.com/@Computerphile,Computer Science Theory & Algorithms,Collaboration Opportunity for Computerphile,"Hi Computerphile,

I came across your channel and your computer science theory videos with university professors explaining algorithms, security, and AI fundamentals.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI CS professor chatbot that explains theoretical concepts with the academic rigor your audience expects.

Would this be relevant to you?

Best,
Dhurim Halili"
Corbin Brown,https://www.youtube.com/@Corbin_Brown,Python & Machine Learning Engineering,Collaboration Opportunity for Corbin Brown,"Hi Corbin Brown,

I came across your channel and your Python machine learning engineering tutorials focused on building production ML systems.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI MLOps assistant that helps ML engineers deploy, monitor, and iterate on models via chatbot.

Would this be relevant to you?

Best,
Dhurim Halili"
Dani,https://www.youtube.com/@Danidev,Game Development & Physics Engines,Collaboration Opportunity for Dani,"Hi Dani,

I came across your channel and your game development devlogs and physics engine builds that inspire indie developers worldwide.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI game development assistant that helps indie devs with physics, shaders, and game logic through chat.

Would this be relevant to you?

Best,
Dhurim Halili"
David Bombal,https://www.youtube.com/@davidbombal,IT Networking & Ethical Hacking,Collaboration Opportunity for David Bombal,"Hi David Bombal,

I came across your channel and your IT networking labs and ethical hacking tutorials for cybersecurity and network professionals.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI network troubleshooting chatbot that helps IT pros diagnose and resolve infrastructure issues.

Would this be relevant to you?

Best,
Dhurim Halili"
ExplainingComputers,https://www.youtube.com/@ExplainingComputers,Computing Hardware & Linux OS,Collaboration Opportunity for ExplainingComputers,"Hi ExplainingComputers,

I came across your channel and your single-board computer reviews, Linux tutorials, and hands-on computing hardware projects.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI Linux and hardware assistant chatbot that helps makers configure systems and troubleshoot setups.

Would this be relevant to you?

Best,
Dhurim Halili"
Gamefromscratch,https://www.youtube.com/@gamefromscratch,Game Development Tools & Engines,Collaboration Opportunity for Gamefromscratch,"Hi Gamefromscratch,

I came across your channel and your game engine comparisons and game development tool reviews that help devs pick the right stack.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI game engine advisor chatbot that recommends tools and helps developers get started with new engines.

Would this be relevant to you?

Best,
Dhurim Halili"
Gamers Nexus,https://www.youtube.com/@GamersNexus,PC Hardware Benchmarking,Collaboration Opportunity for Gamers Nexus,"Hi Gamers Nexus,

I came across your channel and your rigorous PC hardware benchmarking and investigative journalism on thermal design and performance.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI PC optimization chatbot that helps viewers tune their builds based on workload and budget.

Would this be relevant to you?

Best,
Dhurim Halili"
Gaurav Sen,https://www.youtube.com/@gkcs,System Design & AI,Collaboration Opportunity for Gaurav Sen,"Hi Gaurav Sen,

I came across your channel and your system design and AI architecture videos that prepare engineers for senior-level technical interviews.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI system design mentor chatbot with adaptive mock interviews and architecture feedback.

Would this be relevant to you?

Best,
Dhurim Halili"
GDQuest,https://www.youtube.com/@Gdquest,Godot Engine Game Development,Collaboration Opportunity for GDQuest,"Hi GDQuest,

I came across your channel and your Godot engine tutorials and open-source game development education for the indie community.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI Godot game dev assistant that helps developers write GDScript and design game systems via chat.

Would this be relevant to you?

Best,
Dhurim Halili"
Greg Isenberg,https://www.youtube.com/@GregIsenberg,AI Agents & SaaS Startups,Collaboration Opportunity for Greg Isenberg,"Hi Greg Isenberg,

I came across your channel and your startup ideas, AI agent builds, and community-driven SaaS content for indie founders.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI agent builder platform for launching chatbot-powered SaaS products your founder audience would love to try.

Would this be relevant to you?

Best,
Dhurim Halili"
Harkirat Singh,https://www.youtube.com/@harkirat1,Full-Stack Dev & Blockchain,Collaboration Opportunity for Harkirat Singh,"Hi Harkirat Singh,

I came across your channel and your full-stack development cohorts and blockchain project builds for the next generation of Indian developers.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI full-stack mentor chatbot that supports students through your cohort-style learning projects.

Would this be relevant to you?

Best,
Dhurim Halili"
Hitesh Choudhary,https://www.youtube.com/@HiteshCodeLab,Web Frameworks & Software Dev,Collaboration Opportunity for Hitesh Choudhary,"Hi Hitesh Choudhary,

I came across your channel and your web framework tutorials and software development courses covering the full modern stack.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI web development tutor chatbot that helps learners across the frameworks and tools you teach.

Would this be relevant to you?

Best,
Dhurim Halili"
IppSec,https://www.youtube.com/@IppSec,Penetration Testing,Collaboration Opportunity for IppSec,"Hi IppSec,

I came across your channel and your Hack The Box walkthroughs and penetration testing tutorials revered by the cybersecurity community.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI cybersecurity training chatbot that helps aspiring pentesters practice and learn exploit techniques safely.

Would this be relevant to you?

Best,
Dhurim Halili"
Jeff Geerling,https://www.youtube.com/@JeffGeerling,Single-Board Computers & Hardware,Collaboration Opportunity for Jeff Geerling,"Hi Jeff Geerling,

I came across your channel and your Raspberry Pi clusters, homelab builds, and single-board computer projects that push hardware limits.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI homelab assistant chatbot that helps makers configure Pi clusters, Docker setups, and self-hosted services.

Would this be relevant to you?

Best,
Dhurim Halili"
Joma Tech,https://www.youtube.com/@JomaTech,Silicon Valley Careers & Tech,Collaboration Opportunity for Joma Tech,"Hi Joma Tech,

I came across your channel and your Silicon Valley career satire and tech industry insights that resonate with every software engineer.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI career coaching chatbot with a fun, relatable tone that helps devs navigate tech careers.

Would this be relevant to you?

Best,
Dhurim Halili"
Jonas Tyroller,https://www.youtube.com/@JonasTyroller,Indie Game Dev,Collaboration Opportunity for Jonas Tyroller,"Hi Jonas Tyroller,

I came across your channel and your indie game development journey and Unity tutorials for solo developers building their dream games.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI indie game dev mentor chatbot that helps solo creators with game design, code, and marketing decisions.

Would this be relevant to you?

Best,
Dhurim Halili"
Jon Gjengset,https://www.youtube.com/@JonGjengset,Advanced Rust Systems Programming,Collaboration Opportunity for Jon Gjengset,"Hi Jon Gjengset,

I came across your channel and your advanced Rust live coding sessions and systems programming content for experienced developers.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI Rust programming assistant that helps developers with ownership, lifetimes, and systems-level debugging.

Would this be relevant to you?

Best,
Dhurim Halili"
Kalle Hallden,https://www.youtube.com/@Hallden_,Python Automation & Dev Vlogs,Collaboration Opportunity for Kalle Hallden,"Hi Kalle Hallden,

I came across your channel and your Python automation projects and developer lifestyle content that makes coding look creative and fun.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI Python automation builder that helps viewers create scripts and automate workflows through chat.

Would this be relevant to you?

Best,
Dhurim Halili"
LGR,https://www.youtube.com/@LGR,Retro Technology & Computing,Collaboration Opportunity for LGR,"Hi LGR,

I came across your channel and your retro technology reviews and nostalgic computing content that celebrates tech history.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI retro tech encyclopedia chatbot that answers questions about vintage hardware and computing history.

Would this be relevant to you?

Best,
Dhurim Halili"
Liam Ottley,https://www.youtube.com/@LiamOttley,AI Automation Agencies & Agents,Collaboration Opportunity for Liam Ottley,"Hi Liam Ottley,

I came across your channel and your AI automation agency blueprint and AI agent business content for entrepreneurs building AI services.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote a white-label AI agent platform that agency owners can rebrand and sell to clients.

Would this be relevant to you?

Best,
Dhurim Halili"
Loi Liang Yang,https://www.youtube.com/@LoiLiangYang,Cloud Security & AWS,Collaboration Opportunity for Loi Liang Yang,"Hi Loi Liang Yang,

I came across your channel and your AWS cloud security tutorials and hands-on labs for cloud engineers and security professionals.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI cloud security assistant that audits AWS configurations and answers security questions via chatbot.

Would this be relevant to you?

Best,
Dhurim Halili"
Mental Outlaw,https://www.youtube.com/@MentalOutlaw,"Cybersecurity, Linux & Privacy",Collaboration Opportunity for Mental Outlaw,"Hi Mental Outlaw,

I came across your channel and your cybersecurity, Linux, and digital privacy content for people who want to stay secure online.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI privacy and security advisor chatbot that helps users harden their systems and understand threats.

Would this be relevant to you?

Best,
Dhurim Halili"
Milan Jovanović,https://www.youtube.com/@MilanJovanovicTech,C# Software Architecture,Collaboration Opportunity for Milan Jovanović,"Hi Milan Jovanović,

I came across your channel and your C# software architecture patterns and .NET best practices for building maintainable enterprise apps.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI .NET architecture reviewer chatbot that suggests clean code improvements and design patterns.

Would this be relevant to you?

Best,
Dhurim Halili"
Modern Vintage Gamer,https://www.youtube.com/@ModernVintageGamer,Console Architecture & Retrogaming,Collaboration Opportunity for Modern Vintage Gamer,"Hi Modern Vintage Gamer,

I came across your channel and your console architecture deep dives and retro gaming technical analysis that fascinates hardware enthusiasts.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI retro gaming encyclopedia chatbot that explains console hardware, emulation, and gaming history.

Would this be relevant to you?

Best,
Dhurim Halili"
NeetCode,https://www.youtube.com/@NeetCode,Coding Interviews & DSA,Collaboration Opportunity for NeetCode,"Hi NeetCode,

I came across your channel and your NeetCode roadmap and coding interview solutions that have become essential prep for tech interviews.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI coding interview coach chatbot with adaptive problem hints and pattern recognition training.

Would this be relevant to you?

Best,
Dhurim Halili"
Nick Chapsas,https://www.youtube.com/@nickchapsas,.NET & C# Software Engineering,Collaboration Opportunity for Nick Chapsas,"Hi Nick Chapsas,

I came across your channel and your .NET and C# best practices content that senior engineers rely on for writing better code.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI .NET code assistant that reviews C# code and suggests modern .NET patterns via chatbot.

Would this be relevant to you?

Best,
Dhurim Halili"
Optimum Tech,https://www.youtube.com/@optimumtech,Custom PC Hardware & ITX Builds,Collaboration Opportunity for Optimum Tech,"Hi Optimum Tech,

I came across your channel and your compact ITX PC builds and hardware optimization guides for enthusiasts who want maximum performance per liter.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI PC building chatbot specialized in SFF and ITX builds with compatibility checking.

Would this be relevant to you?

Best,
Dhurim Halili"
PwnFunction,https://www.youtube.com/@PwnFunction,Web Application Security,Collaboration Opportunity for PwnFunction,"Hi PwnFunction,

I came across your channel and your animated web security explainers on XSS, CSRF, and vulnerabilities that make infosec accessible.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI web security scanner chatbot that helps developers understand and fix common vulnerabilities.

Would this be relevant to you?

Best,
Dhurim Halili"
Retro Game Corps,https://www.youtube.com/@RetroGameCorps,Retro Hardware Emulation,Collaboration Opportunity for Retro Game Corps,"Hi Retro Game Corps,

I came across your channel and your retro handheld reviews and emulation setup guides that help gamers build the ultimate portable library.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI retro emulation setup assistant that recommends devices, configs, and ROM management workflows.

Would this be relevant to you?

Best,
Dhurim Halili"
Robert Miles AI Safety,https://www.youtube.com/@RobertMilesAISafety,AI Safety & ML Alignment,Collaboration Opportunity for Robert Miles AI Safety,"Hi Robert Miles AI Safety,

I came across your channel and your AI safety and alignment explainers that make complex x-risk topics understandable for everyone.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI platform with published safety practices and alignment considerations your audience would want to scrutinize.

Would this be relevant to you?

Best,
Dhurim Halili"
Sam Witteveen AI,https://www.youtube.com/@samwitteveenai,"LangChain, LLMs & Agentic AI",Collaboration Opportunity for Sam Witteveen AI,"Hi Sam Witteveen AI,

I came across your channel and your LangChain tutorials and agentic AI builds that show developers how to ship LLM-powered applications.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an LLM agent builder platform with LangChain-compatible integrations for production chatbot deployments.

Would this be relevant to you?

Best,
Dhurim Halili"
Seytonic,https://www.youtube.com/@Seytonic,Hardware Hacking & Raspberry Pi,Collaboration Opportunity for Seytonic,"Hi Seytonic,

I came across your channel and your hardware hacking projects and Raspberry Pi builds for makers who love tinkering with electronics.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI maker assistant chatbot that helps with Raspberry Pi configs, GPIO wiring, and project troubleshooting.

Would this be relevant to you?

Best,
Dhurim Halili"
Sonny Sangha,https://www.youtube.com/@SonnySangha,Full-Stack Next.js & AI Agents,Collaboration Opportunity for Sonny Sangha,"Hi Sonny Sangha,

I came across your channel and your full-stack Next.js clone projects and AI agent builds that teach modern web development by doing.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote a Next.js AI agent starter kit with chatbot components your audience can integrate into their clone projects.

Would this be relevant to you?

Best,
Dhurim Halili"
take U forward,https://www.youtube.com/@takeUforward,Algorithms & Data Structures,Collaboration Opportunity for take U forward,"Hi take U forward,

I came across your channel and your Striver's SDE sheet and DSA content that Indian CS students use as their primary interview prep resource.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI DSA coach chatbot with adaptive problem-solving hints aligned to your sheet's structured approach.

Would this be relevant to you?

Best,
Dhurim Halili"
TechLead,https://www.youtube.com/@TechLead,Silicon Valley Tech Careers,Collaboration Opportunity for TechLead,"Hi TechLead,

I came across your channel and your ex-Google/Facebook engineer perspective on Silicon Valley careers, tech culture, and coding.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI tech career advisor chatbot with insights for engineers navigating big tech and startup paths.

Would this be relevant to you?

Best,
Dhurim Halili"
The 8-Bit Guy,https://www.youtube.com/@The8BitGuy,Retrocomputing & Restoration,Collaboration Opportunity for The 8-Bit Guy,"Hi The 8-Bit Guy,

I came across your channel and your retro computer restoration projects and vintage computing history that preserve tech heritage.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI vintage computing assistant chatbot that helps collectors identify, repair, and restore retro hardware.

Would this be relevant to you?

Best,
Dhurim Halili"
The AI Grid,https://www.youtube.com/@TheAiGrid,AI Software & Industry Analysis,Collaboration Opportunity for The AI Grid,"Hi The AI Grid,

I came across your channel and your AI software reviews and industry analysis that helps viewers navigate the crowded AI tools landscape.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI software platform launching soon that your audience would benefit from an honest, detailed review of.

Would this be relevant to you?

Best,
Dhurim Halili"
The Cyber Mentor,https://www.youtube.com/@TCMSecurityAcademy,Ethical Hacking & Blue Team,Collaboration Opportunity for The Cyber Mentor,"Hi The Cyber Mentor,

I came across your channel and your ethical hacking courses and blue team training that launch cybersecurity careers.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI cybersecurity lab assistant chatbot for hands-on ethical hacking practice and certification prep.

Would this be relevant to you?

Best,
Dhurim Halili"
The PC Security Channel,https://www.youtube.com/@thepcsecuritychannel,Antivirus & Malware Analysis,Collaboration Opportunity for The PC Security Channel,"Hi The PC Security Channel,

I came across your channel and your antivirus tests and malware analysis videos that reveal which security products actually protect users.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI threat detection chatbot that helps users understand malware behavior and choose real protection.

Would this be relevant to you?

Best,
Dhurim Halili"
Traversy Media,https://www.youtube.com/@TraversyMedia,Full-Stack Web Dev & DevOps,Collaboration Opportunity for Traversy Media,"Hi Traversy Media,

I came across your channel and your full-stack web development crash courses and project builds that millions of developers learned from.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI web dev project mentor chatbot that guides learners through the same project-based approach you teach.

Would this be relevant to you?

Best,
Dhurim Halili"
zSecurity,https://www.youtube.com/@zSecurity,Ethical Hacking & Wireless Security,Collaboration Opportunity for zSecurity,"Hi zSecurity,

I came across your channel and your ethical hacking and wireless security courses that train the next generation of penetration testers.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI pentesting practice chatbot with guided labs for wireless and network security training.

Would this be relevant to you?

Best,
Dhurim Halili"
ML Street Talk,https://www.youtube.com/@MachineLearningStreetTalk,Deep AI Discussions,Collaboration Opportunity for ML Street Talk,"Hi ML Street Talk,

I came across your channel and your ML Street Talk podcast deep dives with researchers debating the biggest questions in AI.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI research discussion platform where practitioners can explore and debate model capabilities via chat.

Would this be relevant to you?

Best,
Dhurim Halili"
Real Python,https://www.youtube.com/@realpython,Python Tutorials & Tips,Collaboration Opportunity for Real Python,"Hi Real Python,

I came across your channel and your Real Python tutorials and tips that help developers write better, more Pythonic code every day.

I work with AI and tech brands looking to partner with creators in the tech and programming space.

We're currently looking for creators to promote an AI Python code reviewer chatbot that suggests Pythonic improvements and explains best practices.

Would this be relevant to you?

Best,
Dhurim Halili"
